molecule,conformer_id,plane_angle_deg,interplane_distance_A,pi_overlap_pct,centroid_distance_A,slip_stack_A,bridge_dihedral_L_deg,bridge_dihedral_R_deg,energy_kcal_mol,geometry_warnings,rel_energy_kcal_mol,classification,excimer_score
smiles_input,0,6.087608067565307,4.101450723191174,47.59810813096426,4.3894056588856785,1.563644461983674,-116.39156204702553,-133.36458116460616,249.20044251615013,,4.68839122613403,weak_excimer,0.5852259679879921
smiles_input,1,8.525958682832977,4.03636807049098,50.77359228868446,4.095960133577033,0.6961481274652093,-114.10115368838241,134.21218792527844,253.086159854281,,8.57410856426489,weak_excimer,0.6205495361093618
smiles_input,2,10.693406467813771,4.464173086716601,69.62412186031288,4.51579992310346,0.6808873602413239,-126.76613629779517,129.2713107184906,254.18135944441002,,9.669308154393917,weak_excimer,0.6267014594827272
smiles_input,3,11.764161410764416,4.686390634419188,65.47161955680588,4.84119908026457,1.2144757537236515,-117.3122554055298,128.895053902938,252.49442431285362,,7.982373022837521,monomer,0.5928297173408352
smiles_input,4,19.708709185422453,3.9995962900764725,45.36614528604615,4.7666667258510165,2.5931334697122264,-115.88568680659183,-143.69509304404608,253.74277203418998,,9.23072074417388,weak_excimer,0.5861721158990172
smiles_input,5,6.59314187827042,3.912399168392783,40.87324752064741,4.43218941552923,2.0826511379222397,-126.60029858561258,151.05998166875372,244.5120512900161,,0.0,weak_excimer,0.5921396930256888
smiles_input,6,5.571250237227447,3.8645538574888536,43.49726409412005,4.324481856567779,1.9407129644416594,-115.92806141254135,-142.65173416294212,251.17097591554284,,6.658924625526737,weak_excimer,0.6198451201925068
smiles_input,7,20.749925964744524,4.943679090703918,52.586372056240606,4.971106580599113,0.5214764460766078,-116.33421211378055,145.3944960401772,246.69764063558642,,2.185589345570321,monomer,0.511768602513721
smiles_input,8,8.09025185527743,3.671990728707918,30.913230028990323,4.616746230747409,2.7983619936318993,-117.39421700203656,-129.22204224707815,246.39630509521228,,1.884253805196181,weak_excimer,0.5505424211541288
smiles_input,9,6.964942849199455,4.206076417638289,31.141806228724775,4.8352150583445725,2.3850001738845155,-116.04629915507708,-128.93354253557408,254.2222944532983,,9.7102431632822,weak_excimer,0.4603317329627765
smiles_input,10,53.26029086205695,1.2074814481572775,3.896061977963872,6.313752270328069,6.197213590270135,-127.01091638150669,145.9198985440695,254.3879176046865,,9.87586631467039,monomer,0.033939048060741855
smiles_input,11,39.02469323398763,5.760617940449104,7.013169227116154,7.411507164996054,4.663230575573524,-115.2191705687745,164.00845495516828,254.09874729628837,,9.586696006272263,monomer,0.08337580173996378
smiles_input,12,27.60619904486407,3.259600510706357,0.0,5.9215520884550985,4.943660955899969,-116.32922238250553,164.96310644322983,248.05434463817048,,3.5422933481543737,monomer,0.18381128427371657
smiles_input,13,43.9368494389974,4.265878847317435,0.11125147180809611,7.684807439229572,6.39206876042865,-125.16571054323198,-129.0104923497197,250.48919537421492,,5.977144084198812,monomer,0.030914284034823623
