molecule,conformer_id,plane_angle_deg,interplane_distance_A,pi_overlap_pct,centroid_distance_A,slip_stack_A,bridge_dihedral_L_deg,bridge_dihedral_R_deg,energy_kcal_mol,geometry_warnings,rel_energy_kcal_mol,classification,excimer_score
smiles_input,0,24.873126733347032,5.244197014525917,43.769812133376895,5.865216780963051,2.626626269671427,-115.95501184203906,-37.68119260982587,315.82365170485485,,6.95681583189014,monomer,0.42715436456494654
smiles_input,1,15.803769189470218,4.647024177873738,51.98034618857756,4.674850819796346,0.5093098051358007,-115.85505829769099,-41.502353283429,317.39319303675677,,8.526357163792056,monomer,0.5118820771314654
smiles_input,2,23.244792233778174,3.498930115834238,23.698524959427175,5.036744940002418,3.623021892722727,-127.3099147498588,41.23741387614952,312.6009709902622,,3.7341351172975124,monomer,0.4078326550601164
smiles_input,3,23.606506624497964,4.71823210044988,0.37227027397051027,5.457368888944644,2.7424735251785406,-127.45020287733904,-42.55051002862665,318.4092444703323,,9.542408597367569,monomer,0.17526831106623486
smiles_input,4,1.4381518527691193,3.7801443175364313,46.00447180822638,4.171152523983905,1.7632419904636838,-126.03523695625111,-42.718739464475824,312.0499325426674,,3.1830966697027065,weak_excimer,0.6559907514652505
smiles_input,5,18.940564542086904,4.356017336137656,52.088423029075635,4.389558374904631,0.5416047396059174,-115.00229969081772,-37.37352192466481,318.5746092468805,,9.707773373915813,weak_excimer,0.5485262041400398
smiles_input,6,13.10942530384812,3.9831688784257793,44.65971810385437,4.438314603630737,1.9578054568169403,-117.04141748146776,-37.887266402876065,308.8668358729647,,0.0,weak_excimer,0.5971660890166814
smiles_input,7,26.020943263748258,3.8537868682746,47.69021446200492,4.67619744272407,2.648612711827343,-114.97634654027553,37.19294486563126,317.12738153778025,,8.260545664815538,weak_excimer,0.5992335128029298
smiles_input,8,6.199522758832024,3.65825681725312,43.19665673156632,4.227652202855338,2.119009251355138,-115.87548734162532,-41.966498352770266,313.034865654446,,4.168029781481266,weak_excimer,0.6591799403893979
smiles_input,9,21.87059183311508,4.489875506978953,53.30345345167388,4.662040356187396,1.2552442848108898,-116.65823859498931,37.26953441183095,318.69998970442145,,9.833153831456741,weak_excimer,0.5129988847997298
smiles_input,10,30.442602313583517,4.3482353271813015,49.47517739005785,4.830353276942286,2.1036069783872646,-114.21990594658338,37.25756176426483,309.809034569134,,0.942198696169271,weak_excimer,0.48257922097710415
smiles_input,11,47.63646671212597,2.7061499913215017,20.254552497640237,6.195815796643637,5.5735882167962005,-114.85319738482247,42.166450233907526,317.6433146660297,,8.776478793064996,monomer,0.13382939537507824
smiles_input,12,34.7929090431762,4.102452823445731,29.94054210942798,5.472624566581528,3.622085100898903,-117.56278789909346,-42.299030394411155,316.5402363483736,,7.673400475408869,monomer,0.3141619087372098
smiles_input,13,19.42910420739831,3.7114917122393685,44.34552929917427,4.67196751958668,2.8376239662878864,-115.62598190465961,-41.82324669488402,314.03476210180776,,5.167926228843044,weak_excimer,0.6184177881185098
smiles_input,14,17.61805392923124,4.529915287222669,55.85951264353467,4.604375446928612,0.8247064610304826,-129.93129376141036,-37.38998446005756,317.28302746911993,,8.416191596155215,monomer,0.5351570758612081
smiles_input,15,25.40087544413457,4.666722229726745,53.652201244810385,4.754336465239898,0.908525649216379,-117.03006233333649,-37.779325087812694,317.34450862433687,,8.477672751372154,monomer,0.49490883024818944
smiles_input,16,33.734737852662654,5.0181313912689145,2.5611459541970523,5.450645538418569,2.1278848947825555,-115.08513033415001,-37.983913793863366,313.2061428931957,,4.33930702023099,monomer,0.14669318646186905
smiles_input,17,31.83459558921496,4.130691713639431,56.18159349145137,4.716729518829466,2.277042669926889,-116.02165859105749,37.55528927408221,316.4998635720036,,7.633027699038905,weak_excimer,0.5702436545927758
smiles_input,18,6.768622982264003,3.8296475478047887,29.076564562571697,4.6696853083886,2.672033034783273,-118.70018437802305,-37.33950270104239,316.9166239933073,,8.049788120342612,monomer,0.5233974851252994
smiles_input,19,26.311043650060654,3.5162770229517184,0.048356908740337344,6.103778568863137,4.989179162505064,-116.9494519449076,-37.381519971433484,318.79601220987854,,9.929176336913827,monomer,0.185165465737605
smiles_input,20,32.0747769823638,3.726612374007553,32.854939534321474,5.150578577374858,3.5553930718848243,-115.67726635000746,-37.31458027773044,317.3804645425939,,8.513628669629213,weak_excimer,0.4182093240968145
smiles_input,21,6.284794884137879,3.803068562965799,35.28646047134743,4.717181000678933,2.7907823452479334,-115.90970592445566,37.6347139842374,313.36726999199436,,4.500434119029649,weak_excimer,0.5518747447121984
smiles_input,22,25.06434938916907,3.4793232480024554,38.412977205173426,4.857710336395752,3.389935021240935,-116.4779334699309,37.21103457661398,316.26878652081814,,7.401950647853425,weak_excimer,0.49744619204512575
smiles_input,23,52.81029911153255,4.380863975612487,55.24361880039497,5.322580003184266,3.0228940963053548,-116.18272889479667,-37.35626373977308,315.17991002426373,,6.31307415129902,weak_excimer,0.35565612044720407
