name,r_group,screen_group,smiles,n_atoms,mw,n_aromatic,n_naph_matches,n_chiral,status
EtynPyr_OEt,EtynPyr,OEt,CCOc1cc(-c2cc(OC(C)Oc3cc(OC(C)Oc4cc(-c5cc(OCC)cc6ccc(C#Cc7cc8ccc9cccc%10ccc(c7)c8c9%10)cc56)c5cc(C#Cc6cc7ccc8cccc9ccc(c6)c7c89)ccc5c4)cc(C(N)P(=O)(O)O)c3)cc3ccc(C#Cc4cc5ccc6cccc7ccc(c4)c5c67)cc23)c2cc(C#Cc3cc4ccc5cccc6ccc(c3)c4c56)ccc2c1,138,1797.0,110,24,3,OK
EtynPyr_F,EtynPyr,F,CC(Oc1cc(OC(C)Oc2cc(-c3cc(F)cc4ccc(C#Cc5cc6ccc7cccc8ccc(c5)c6c78)cc34)c3cc(C#Cc4cc5ccc6cccc7ccc(c4)c5c67)ccc3c2)cc(C(N)P(=O)(O)O)c1)Oc1cc(-c2cc(F)cc3ccc(C#Cc4cc5ccc6cccc7ccc(c4)c5c67)cc23)c2cc(C#Cc3cc4ccc5cccc6ccc(c3)c4c56)ccc2c1,134,1744.9,110,24,3,OK
EtynPyr_Cl,EtynPyr,Cl,CC(Oc1cc(OC(C)Oc2cc(-c3cc(Cl)cc4ccc(C#Cc5cc6ccc7cccc8ccc(c5)c6c78)cc34)c3cc(C#Cc4cc5ccc6cccc7ccc(c4)c5c67)ccc3c2)cc(C(N)P(=O)(O)O)c1)Oc1cc(-c2cc(Cl)cc3ccc(C#Cc4cc5ccc6cccc7ccc(c4)c5c67)cc23)c2cc(C#Cc3cc4ccc5cccc6ccc(c3)c4c56)ccc2c1,134,1777.8,110,24,3,OK
EtynPyr_CF3,EtynPyr,CF3,CC(Oc1cc(OC(C)Oc2cc(-c3cc(C(F)(F)F)cc4ccc(C#Cc5cc6ccc7cccc8ccc(c5)c6c78)cc34)c3cc(C#Cc4cc5ccc6cccc7ccc(c4)c5c67)ccc3c2)cc(C(N)P(=O)(O)O)c1)Oc1cc(-c2cc(C(F)(F)F)cc3ccc(C#Cc4cc5ccc6cccc7ccc(c4)c5c67)cc23)c2cc(C#Cc3cc4ccc5cccc6ccc(c3)c4c56)ccc2c1,140,1844.9,110,24,3,OK
EtynPyr_CN,EtynPyr,CN,CC(Oc1cc(OC(C)Oc2cc(-c3cc(C#N)cc4ccc(C#Cc5cc6ccc7cccc8ccc(c5)c6c78)cc34)c3cc(C#Cc4cc5ccc6cccc7ccc(c4)c5c67)ccc3c2)cc(C(N)P(=O)(O)O)c1)Oc1cc(-c2cc(C#N)cc3ccc(C#Cc4cc5ccc6cccc7ccc(c4)c5c67)cc23)c2cc(C#Cc3cc4ccc5cccc6ccc(c3)c4c56)ccc2c1,136,1758.9,110,24,3,OK
EtynPyr_NMe2,EtynPyr,NMe2,CC(Oc1cc(OC(C)Oc2cc(-c3cc(N(C)C)cc4ccc(C#Cc5cc6ccc7cccc8ccc(c5)c6c78)cc34)c3cc(C#Cc4cc5ccc6cccc7ccc(c4)c5c67)ccc3c2)cc(C(N)P(=O)(O)O)c1)Oc1cc(-c2cc(N(C)C)cc3ccc(C#Cc4cc5ccc6cccc7ccc(c4)c5c67)cc23)c2cc(C#Cc3cc4ccc5cccc6ccc(c3)c4c56)ccc2c1,138,1795.1,110,24,3,OK
EtynPyr_Ph,EtynPyr,Ph,CC(Oc1cc(OC(C)Oc2cc(-c3cc(-c4ccccc4)cc4ccc(C#Cc5cc6ccc7cccc8ccc(c5)c6c78)cc34)c3cc(C#Cc4cc5ccc6cccc7ccc(c4)c5c67)ccc3c2)cc(C(N)P(=O)(O)O)c1)Oc1cc(-c2cc(-c3ccccc3)cc3ccc(C#Cc4cc5ccc6cccc7ccc(c4)c5c67)cc23)c2cc(C#Cc3cc4ccc5cccc6ccc(c3)c4c56)ccc2c1,144,1861.1,122,24,3,OK
DCV_Th_H,DCV_Th,H,CC(Oc1cc(OC(C)Oc2cc(-c3cccc4ccc(-c5csc(C=C(C#N)C#N)c5)cc34)c3cc(-c4csc(C=C(C#N)C#N)c4)ccc3c2)cc(C(N)P(=O)(O)O)c1)Oc1cc(-c2cccc3ccc(-c4csc(C=C(C#N)C#N)c4)cc23)c2cc(-c3csc(C=C(C#N)C#N)c3)ccc2c1,104,1444.6,66,4,3,OK
DCV_Th_Me,DCV_Th,Me,Cc1cc(-c2cc(OC(C)Oc3cc(OC(C)Oc4cc(-c5cc(C)cc6ccc(-c7csc(C=C(C#N)C#N)c7)cc56)c5cc(-c6csc(C=C(C#N)C#N)c6)ccc5c4)cc(C(N)P(=O)(O)O)c3)cc3ccc(-c4csc(C=C(C#N)C#N)c4)cc23)c2cc(-c3csc(C=C(C#N)C#N)c3)ccc2c1,106,1472.7,66,4,3,OK
DCV_Th_Et,DCV_Th,Et,CCc1cc(-c2cc(OC(C)Oc3cc(OC(C)Oc4cc(-c5cc(CC)cc6ccc(-c7csc(C=C(C#N)C#N)c7)cc56)c5cc(-c6csc(C=C(C#N)C#N)c6)ccc5c4)cc(C(N)P(=O)(O)O)c3)cc3ccc(-c4csc(C=C(C#N)C#N)c4)cc23)c2cc(-c3csc(C=C(C#N)C#N)c3)ccc2c1,108,1500.7,66,4,3,OK
DCV_Th_nPr,DCV_Th,nPr,CCCc1cc(-c2cc(OC(C)Oc3cc(OC(C)Oc4cc(-c5cc(CCC)cc6ccc(-c7csc(C=C(C#N)C#N)c7)cc56)c5cc(-c6csc(C=C(C#N)C#N)c6)ccc5c4)cc(C(N)P(=O)(O)O)c3)cc3ccc(-c4csc(C=C(C#N)C#N)c4)cc23)c2cc(-c3csc(C=C(C#N)C#N)c3)ccc2c1,110,1528.8,66,4,3,OK
DCV_Th_iPr,DCV_Th,iPr,CC(Oc1cc(OC(C)Oc2cc(-c3cc(C(C)C)cc4ccc(-c5csc(C=C(C#N)C#N)c5)cc34)c3cc(-c4csc(C=C(C#N)C#N)c4)ccc3c2)cc(C(N)P(=O)(O)O)c1)Oc1cc(-c2cc(C(C)C)cc3ccc(-c4csc(C=C(C#N)C#N)c4)cc23)c2cc(-c3csc(C=C(C#N)C#N)c3)ccc2c1,110,1528.8,66,4,3,OK
DCV_Th_nBu,DCV_Th,nBu,CCCCc1cc(-c2cc(OC(C)Oc3cc(OC(C)Oc4cc(-c5cc(CCCC)cc6ccc(-c7csc(C=C(C#N)C#N)c7)cc56)c5cc(-c6csc(C=C(C#N)C#N)c6)ccc5c4)cc(C(N)P(=O)(O)O)c3)cc3ccc(-c4csc(C=C(C#N)C#N)c4)cc23)c2cc(-c3csc(C=C(C#N)C#N)c3)ccc2c1,112,1556.8,66,4,3,OK
DCV_Th_tBu,DCV_Th,tBu,CC(Oc1cc(OC(C)Oc2cc(-c3cc(C(C)(C)C)cc4ccc(-c5csc(C=C(C#N)C#N)c5)cc34)c3cc(-c4csc(C=C(C#N)C#N)c4)ccc3c2)cc(C(N)P(=O)(O)O)c1)Oc1cc(-c2cc(C(C)(C)C)cc3ccc(-c4csc(C=C(C#N)C#N)c4)cc23)c2cc(-c3csc(C=C(C#N)C#N)c3)ccc2c1,112,1556.8,66,4,3,OK
DCV_Th_cHex,DCV_Th,cHex,CC(Oc1cc(OC(C)Oc2cc(-c3cc(C4CCCCC4)cc4ccc(-c5csc(C=C(C#N)C#N)c5)cc34)c3cc(-c4csc(C=C(C#N)C#N)c4)ccc3c2)cc(C(N)P(=O)(O)O)c1)Oc1cc(-c2cc(C3CCCCC3)cc3ccc(-c4csc(C=C(C#N)C#N)c4)cc23)c2cc(-c3csc(C=C(C#N)C#N)c3)ccc2c1,116,1608.9,66,4,3,OK
DCV_Th_MeO,DCV_Th,MeO,COc1cc(-c2cc(OC(C)Oc3cc(OC(C)Oc4cc(-c5cc(OC)cc6ccc(-c7csc(C=C(C#N)C#N)c7)cc56)c5cc(-c6csc(C=C(C#N)C#N)c6)ccc5c4)cc(C(N)P(=O)(O)O)c3)cc3ccc(-c4csc(C=C(C#N)C#N)c4)cc23)c2cc(-c3csc(C=C(C#N)C#N)c3)ccc2c1,108,1504.7,66,4,3,OK
DCV_Th_OEt,DCV_Th,OEt,CCOc1cc(-c2cc(OC(C)Oc3cc(OC(C)Oc4cc(-c5cc(OCC)cc6ccc(-c7csc(C=C(C#N)C#N)c7)cc56)c5cc(-c6csc(C=C(C#N)C#N)c6)ccc5c4)cc(C(N)P(=O)(O)O)c3)cc3ccc(-c4csc(C=C(C#N)C#N)c4)cc23)c2cc(-c3csc(C=C(C#N)C#N)c3)ccc2c1,110,1532.7,66,4,3,OK
DCV_Th_F,DCV_Th,F,CC(Oc1cc(OC(C)Oc2cc(-c3cc(F)cc4ccc(-c5csc(C=C(C#N)C#N)c5)cc34)c3cc(-c4csc(C=C(C#N)C#N)c4)ccc3c2)cc(C(N)P(=O)(O)O)c1)Oc1cc(-c2cc(F)cc3ccc(-c4csc(C=C(C#N)C#N)c4)cc23)c2cc(-c3csc(C=C(C#N)C#N)c3)ccc2c1,106,1480.6,66,4,3,OK
DCV_Th_Cl,DCV_Th,Cl,CC(Oc1cc(OC(C)Oc2cc(-c3cc(Cl)cc4ccc(-c5csc(C=C(C#N)C#N)c5)cc34)c3cc(-c4csc(C=C(C#N)C#N)c4)ccc3c2)cc(C(N)P(=O)(O)O)c1)Oc1cc(-c2cc(Cl)cc3ccc(-c4csc(C=C(C#N)C#N)c4)cc23)c2cc(-c3csc(C=C(C#N)C#N)c3)ccc2c1,106,1513.5,66,4,3,OK
DCV_Th_CF3,DCV_Th,CF3,CC(Oc1cc(OC(C)Oc2cc(-c3cc(C(F)(F)F)cc4ccc(-c5csc(C=C(C#N)C#N)c5)cc34)c3cc(-c4csc(C=C(C#N)C#N)c4)ccc3c2)cc(C(N)P(=O)(O)O)c1)Oc1cc(-c2cc(C(F)(F)F)cc3ccc(-c4csc(C=C(C#N)C#N)c4)cc23)c2cc(-c3csc(C=C(C#N)C#N)c3)ccc2c1,112,1580.6,66,4,3,OK
DCV_Th_CN,DCV_Th,CN,CC(Oc1cc(OC(C)Oc2cc(-c3cc(C#N)cc4ccc(-c5csc(C=C(C#N)C#N)c5)cc34)c3cc(-c4csc(C=C(C#N)C#N)c4)ccc3c2)cc(C(N)P(=O)(O)O)c1)Oc1cc(-c2cc(C#N)cc3ccc(-c4csc(C=C(C#N)C#N)c4)cc23)c2cc(-c3csc(C=C(C#N)C#N)c3)ccc2c1,108,1494.6,66,4,3,OK
DCV_Th_NMe2,DCV_Th,NMe2,CC(Oc1cc(OC(C)Oc2cc(-c3cc(N(C)C)cc4ccc(-c5csc(C=C(C#N)C#N)c5)cc34)c3cc(-c4csc(C=C(C#N)C#N)c4)ccc3c2)cc(C(N)P(=O)(O)O)c1)Oc1cc(-c2cc(N(C)C)cc3ccc(-c4csc(C=C(C#N)C#N)c4)cc23)c2cc(-c3csc(C=C(C#N)C#N)c3)ccc2c1,110,1530.7,66,4,3,OK
DCV_Th_Ph,DCV_Th,Ph,CC(Oc1cc(OC(C)Oc2cc(-c3cc(-c4ccccc4)cc4ccc(-c5csc(C=C(C#N)C#N)c5)cc34)c3cc(-c4csc(C=C(C#N)C#N)c4)ccc3c2)cc(C(N)P(=O)(O)O)c1)Oc1cc(-c2cc(-c3ccccc3)cc3ccc(-c4csc(C=C(C#N)C#N)c4)cc23)c2cc(-c3csc(C=C(C#N)C#N)c3)ccc2c1,116,1596.8,78,4,3,OK
CNPh_Th_H,CNPh_Th,H,CC(Oc1cc(OC(C)Oc2cc(-c3cccc4ccc(-c5csc(C=C(C#N)c6ccc(C#N)cc6)c5)cc34)c3cc(-c4csc(C=C(C#N)c5ccc(C#N)cc5)c4)ccc3c2)cc(C(N)P(=O)(O)O)c1)Oc1cc(-c2cccc3ccc(-c4csc(C=C(C#N)c5ccc(C#N)cc5)c4)cc23)c2cc(-c3csc(C=C(C#N)c4ccc(C#N)cc4)c3)ccc2c1,128,1749.0,90,4,3,OK
CNPh_Th_Me,CNPh_Th,Me,Cc1cc(-c2cc(OC(C)Oc3cc(OC(C)Oc4cc(-c5cc(C)cc6ccc(-c7csc(C=C(C#N)c8ccc(C#N)cc8)c7)cc56)c5cc(-c6csc(C=C(C#N)c7ccc(C#N)cc7)c6)ccc5c4)cc(C(N)P(=O)(O)O)c3)cc3ccc(-c4csc(C=C(C#N)c5ccc(C#N)cc5)c4)cc23)c2cc(-c3csc(C=C(C#N)c4ccc(C#N)cc4)c3)ccc2c1,130,1777.1,90,4,3,OK
CNPh_Th_Et,CNPh_Th,Et,CCc1cc(-c2cc(OC(C)Oc3cc(OC(C)Oc4cc(-c5cc(CC)cc6ccc(-c7csc(C=C(C#N)c8ccc(C#N)cc8)c7)cc56)c5cc(-c6csc(C=C(C#N)c7ccc(C#N)cc7)c6)ccc5c4)cc(C(N)P(=O)(O)O)c3)cc3ccc(-c4csc(C=C(C#N)c5ccc(C#N)cc5)c4)cc23)c2cc(-c3csc(C=C(C#N)c4ccc(C#N)cc4)c3)ccc2c1,132,1805.1,90,4,3,OK
CNPh_Th_nPr,CNPh_Th,nPr,CCCc1cc(-c2cc(OC(C)Oc3cc(OC(C)Oc4cc(-c5cc(CCC)cc6ccc(-c7csc(C=C(C#N)c8ccc(C#N)cc8)c7)cc56)c5cc(-c6csc(C=C(C#N)c7ccc(C#N)cc7)c6)ccc5c4)cc(C(N)P(=O)(O)O)c3)cc3ccc(-c4csc(C=C(C#N)c5ccc(C#N)cc5)c4)cc23)c2cc(-c3csc(C=C(C#N)c4ccc(C#N)cc4)c3)ccc2c1,134,1833.2,90,4,3,OK
CNPh_Th_iPr,CNPh_Th,iPr,CC(Oc1cc(OC(C)Oc2cc(-c3cc(C(C)C)cc4ccc(-c5csc(C=C(C#N)c6ccc(C#N)cc6)c5)cc34)c3cc(-c4csc(C=C(C#N)c5ccc(C#N)cc5)c4)ccc3c2)cc(C(N)P(=O)(O)O)c1)Oc1cc(-c2cc(C(C)C)cc3ccc(-c4csc(C=C(C#N)c5ccc(C#N)cc5)c4)cc23)c2cc(-c3csc(C=C(C#N)c4ccc(C#N)cc4)c3)ccc2c1,134,1833.2,90,4,3,OK
CNPh_Th_nBu,CNPh_Th,nBu,CCCCc1cc(-c2cc(OC(C)Oc3cc(OC(C)Oc4cc(-c5cc(CCCC)cc6ccc(-c7csc(C=C(C#N)c8ccc(C#N)cc8)c7)cc56)c5cc(-c6csc(C=C(C#N)c7ccc(C#N)cc7)c6)ccc5c4)cc(C(N)P(=O)(O)O)c3)cc3ccc(-c4csc(C=C(C#N)c5ccc(C#N)cc5)c4)cc23)c2cc(-c3csc(C=C(C#N)c4ccc(C#N)cc4)c3)ccc2c1,136,1861.2,90,4,3,OK
