molecule,conformer_id,plane_angle_deg,interplane_distance_A,pi_overlap_pct,centroid_distance_A,slip_stack_A,bridge_dihedral_L_deg,bridge_dihedral_R_deg,energy_kcal_mol,geometry_warnings,rel_energy_kcal_mol,classification,excimer_score
smiles_input,0,9.309064963340553,4.152205725532382,53.237148097867774,4.528293748043404,1.806829234162731,,,227.647000791324,,2.720206468027925,weak_excimer,0.6063714572041112
smiles_input,1,6.576815217928952,3.7893537346817245,49.989612640222724,4.34878460491589,2.1337117456224313,,,232.89328330735196,,7.9664889840559,weak_excimer,0.6775992421709053
smiles_input,2,1.453999371581111,3.954413083399283,53.43623601579037,4.083609643786114,1.019060787521302,,,231.7908589389579,,6.864064615661846,weak_excimer,0.6570141452449214
smiles_input,3,19.580553397719232,4.034938926085359,46.82370450454669,4.701759009786125,2.4136705758794306,,,224.92679432329606,,0.0,weak_excimer,0.5972074955059405
smiles_input,4,19.280006583929485,3.5388580863902326,43.88335386280705,4.639637624604973,3.0004534210749774,,,234.15395609661874,,9.227161773322678,weak_excimer,0.5969099600081814
smiles_input,5,9.08974781088161,3.9667286190235926,40.0511072837848,4.817203497611651,2.7332240304119058,,,231.48474196613608,,6.55794764284002,weak_excimer,0.5468678858957817
smiles_input,6,3.1818975270668735,4.227126739832683,51.88737526957867,4.852695172304996,2.3832855390623524,,,233.67150909382724,,8.744714770531175,weak_excimer,0.5795425666593013
smiles_input,7,9.564787451730547,4.360314904301006,52.77516053432879,4.786369518946242,1.9740787996501536,,,229.9203628278296,,4.993568504533528,weak_excimer,0.5515722371307212
smiles_input,8,16.668238969859303,4.273337067657395,51.640667226959714,4.745148005016403,2.062769957047184,,,230.08368689725123,,5.156892573955162,weak_excimer,0.5665097364474097
smiles_input,9,8.360259540255967,3.94014478881551,52.59079085454431,4.5435035314785335,2.262450747249073,,,228.92785988478647,,4.001065561490407,weak_excimer,0.6555085479233884
smiles_input,10,1.5948463667689803,3.71323699915497,36.20824641302213,4.611597769264385,2.734722101711771,,,234.4547549304495,,9.527960607153432,weak_excimer,0.5851191605287144
smiles_input,11,11.041984737989658,4.076819417944998,50.668132230353685,4.447647862670488,1.7779524582462736,,,232.62921125321816,,7.702416929922094,weak_excimer,0.6098039388958725
smiles_input,12,14.296729715755733,4.109279714014413,51.14660113562559,4.264483787753006,1.140018512129453,,,233.0967141718813,,8.169919848585238,weak_excimer,0.6045596783101503
smiles_input,13,3.490889624061766,3.881008857804583,45.760293391003124,4.496339555217641,2.270427193604133,,,228.44517092870996,,3.5183766054138914,weak_excimer,0.629309545894873
smiles_input,14,20.273501891661983,3.561709631394471,41.058876410496104,4.768601780214752,3.170770795863234,,,227.31613356026446,,2.3893392369683966,weak_excimer,0.5584582281686058
smiles_input,15,29.84636814539867,3.1206340906067105,35.6072242904498,4.812717623316937,3.663863233573089,,,229.36264608456295,,4.435851761266889,weak_excimer,0.4246916765549923
smiles_input,16,19.54691056082938,4.574282197880447,45.708030659925896,5.011583806394827,2.047416572823637,,,231.0161447577653,,6.089350434469225,monomer,0.47424818395955537
smiles_input,17,13.476340736120116,4.010530200876973,52.012248182693035,4.392208819308308,1.7908505856892116,,,233.1730279868622,,8.24623366356613,weak_excimer,0.634440938876915
smiles_input,18,4.420951106647795,3.825032543188479,48.82519159417371,4.38174690809818,2.1374826338889963,,,230.86415431610715,,5.937359992811082,weak_excimer,0.6616930137679227
smiles_input,19,11.468751929920266,3.996484484945543,48.40722301026014,4.433054381382913,1.9183542190867153,,,234.31824143173353,,9.391447108437461,weak_excimer,0.6163222168251752
smiles_input,20,46.3793872197235,2.758475860349077,29.403882570526225,4.994750154119852,4.163933240333195,,,231.854115479776,,6.927321156479934,monomer,0.27469621699315555
smiles_input,21,35.09661299054312,5.104666269368696,25.78296117602671,5.325174970173096,1.516532472889225,,,232.30295360867126,,7.376159285375195,monomer,0.2792147021034447
smiles_input,22,5.041085771563923,3.8680175416975824,46.63548475606462,4.105599890644751,1.3763686857749922,,,225.43541894873397,,0.5086246254379034,weak_excimer,0.6378085231119921
smiles_input,23,15.876485347221656,5.207364793445835,62.19696703045117,5.879756686797106,2.7303645551310716,,,234.79401883123188,,9.867224507935816,monomer,0.5467736480088979
smiles_input,24,13.762370672093297,4.519297419624128,50.67155392838585,4.627072955471433,0.9928519367125332,,,231.6920311084927,,6.765236785196635,monomer,0.504029323570315
smiles_input,25,17.524561430953387,4.142740074679164,54.07937044079222,4.515721753019767,1.7970663939719063,,,229.8712009202374,,4.944406596941349,weak_excimer,0.6137912039749622
smiles_input,26,19.05351681257094,3.4005624360292344,39.84442191826473,4.5128007030271755,2.966739844325669,,,234.22570733394844,,9.29891301065237,weak_excimer,0.5794109688234823
smiles_input,27,7.494377033186475,3.897710991499469,56.394272791995085,3.96936126419916,0.7507848376658769,,,231.23186688386878,,6.305072560572711,weak_excimer,0.6889378888771032
smiles_input,28,32.793696730806865,5.243536670006602,16.606043883886677,5.978980402006928,2.872895723460741,,,231.27153238117484,,6.3447380578787715,monomer,0.21809187821154438
smiles_input,29,40.15178389519321,4.862495306889448,0.03367377157919388,5.70730543137238,2.988222661959909,,,229.8501039346491,,4.923309611353034,monomer,0.08973304589358645
smiles_input,30,73.79003732126436,7.279563182430909,11.221358349412316,7.309463692454342,0.6604690335698095,,,234.0221123808637,interplane_distance unreliable at angle 73.8 deg (>60 deg),9.095318057567624,monomer,0.0673281500964739
smiles_input,31,13.431099547780985,3.578905853055425,0.0,6.134268058916869,4.982035478959715,,,234.83379822818773,,9.907003904891667,monomer,0.2014371616832228
