molecule,conformer_id,plane_angle_deg,interplane_distance_A,pi_overlap_pct,centroid_distance_A,slip_stack_A,bridge_dihedral_L_deg,bridge_dihedral_R_deg,energy_kcal_mol,geometry_warnings,rel_energy_kcal_mol,classification,angle_bin,dist_bin,overlap_bin
mol_791,0,60.45194318463833,0.8272364373023836,0.0,7.688121566904363,7.643486972861226,,-116.48858779509384,113.81725,"interplane_distance unreliable at angle 60.5 deg (>50 deg); CRITICAL: likely measuring edge-to-face, not pi-pi distance",0.0,monomer,60-80,<3.0,0-10%
mol_792,0,49.324732661699215,4.848328531092186,0.0,10.307544259060933,9.096107909820413,,-117.26907311381774,114.58675,,0.0,monomer,40-60,4.2-5.0,0-10%
mol_793,0,41.75105116071628,0.009321628894402757,0.0,8.386295443162016,8.38629026251982,,-116.24445654001703,115.8609,,0.0,monomer,40-60,<3.0,0-10%
mol_794,0,50.27250929010746,3.0308493709714615,6.573533406632338,8.417575293842045,7.852994710171522,,-117.41904012976983,116.71825,interplane_distance unreliable at angle 50.3 deg (>50 deg),0.0,monomer,40-60,3.0-3.6,0-10%
mol_795,0,72.54507545453401,11.066264815863292,17.806690471315726,11.88634246246506,4.338538943029805,,-117.38987316152138,108.09379,interplane_distance unreliable at angle 72.5 deg (>50 deg),0.0,monomer,60-80,>7.0,10-25%
mol_796,0,74.56509898056319,8.10380726212248,16.46045099848129,10.590307038632071,6.817837709337979,,-116.05355278822405,116.47974,interplane_distance unreliable at angle 74.6 deg (>50 deg),0.0,monomer,60-80,>7.0,10-25%
mol_797,0,51.99443731544249,1.277998170803923,0.0,7.517049461889951,7.407614547742198,,-116.92416690559185,117.30331,"interplane_distance unreliable at angle 52.0 deg (>50 deg); CRITICAL: likely measuring edge-to-face, not pi-pi distance",0.0,monomer,40-60,<3.0,0-10%
mol_798,0,41.08820751347321,5.490669635563476,21.632485836089515,8.52479430690266,6.521093844448281,,-117.09588651675611,117.50945,,0.0,monomer,40-60,5.0-7.0,10-25%
mol_799,0,8.521051309278034,1.9049902881105545,0.0,8.076806834077436,7.848937548305785,,-117.44068825344799,109.29401,,0.0,monomer,0-20,<3.0,0-10%
mol_800,0,75.35866911514896,6.656392854505869,2.0984757866067185,7.077498578064146,2.404874277167775,,-115.17415982617055,110.03805,interplane_distance unreliable at angle 75.4 deg (>50 deg),0.0,monomer,60-80,5.0-7.0,0-10%
mol_801,0,37.67147332214677,7.493447134262235,54.90474145884673,7.831932200134269,2.277589083552413,,-115.76167104023922,112.77705,,0.0,monomer,20-40,>7.0,50-70%
mol_802,0,17.26248261014071,3.1540134463678133,23.806562758519274,6.533528226387331,5.721817042262974,,-117.0637158405033,113.56588,,0.0,monomer,0-20,3.0-3.6,10-25%
mol_803,0,77.0190634555428,6.939173091234349,0.0,7.27825845051548,2.1956600106549145,,-115.5553037595322,114.33656,interplane_distance unreliable at angle 77.0 deg (>50 deg),0.0,monomer,60-80,5.0-7.0,0-10%
mol_804,0,51.86437571175761,3.3271847823224245,10.340741849047175,8.173147466245792,7.465264960420501,,-117.09463748528067,118.87276,interplane_distance unreliable at angle 51.9 deg (>50 deg),0.0,monomer,40-60,3.0-3.6,10-25%
mol_805,0,88.17269483640116,0.48176274863071405,0.0,7.408136358255023,7.392454866722676,,-117.42177627949218,118.89027,"interplane_distance unreliable at angle 88.2 deg (>50 deg); CRITICAL: likely measuring edge-to-face, not pi-pi distance",0.0,monomer,80-90,<3.0,0-10%
mol_806,0,62.32500079350202,2.8176222294581486,14.595925599656573,7.5212250739158195,6.973509273282951,,-116.90741926123818,119.05155,interplane_distance unreliable at angle 62.3 deg (>50 deg),0.0,monomer,60-80,<3.0,10-25%
mol_807,0,46.77960898124932,2.4963453279630117,0.0,8.573653186798495,8.20218196402989,,-116.58677569219508,110.04344,,0.0,monomer,40-60,<3.0,0-10%
mol_808,0,81.65396715020236,6.567882442997551,0.0,7.889964213321883,4.372008177309886,,-116.7744453187167,110.85228,interplane_distance unreliable at angle 81.7 deg (>50 deg),0.0,monomer,80-90,5.0-7.0,0-10%
mol_809,0,49.14095249278321,5.287748537644743,0.0,8.450526002267551,6.591745225479812,,-117.53990403539031,112.17958,,0.0,monomer,40-60,5.0-7.0,0-10%
mol_810,0,72.44341091106025,5.740802846405802,0.0,9.32388149565405,7.346968682640416,,-116.72899583358057,112.68644,interplane_distance unreliable at angle 72.4 deg (>50 deg),0.0,monomer,60-80,5.0-7.0,0-10%
mol_811,0,62.19024522170802,4.700221998437671,39.47048620136625,5.563057292083195,2.9758225082156002,,-116.7249074257974,115.72945,interplane_distance unreliable at angle 62.2 deg (>50 deg),0.0,monomer,60-80,4.2-5.0,25-40%
mol_812,0,28.718423896946558,7.257876749355305,0.0,11.16448529982462,8.483451956672337,,-115.25188089219837,111.53417,,0.0,monomer,20-40,>7.0,0-10%
mol_813,0,84.13262958321077,7.431375898789586,52.08752329938044,10.385658405224003,7.255105289442,,-121.2728378690565,115.04547,interplane_distance unreliable at angle 84.1 deg (>50 deg),0.0,monomer,80-90,>7.0,50-70%
mol_814,0,29.28469539444285,7.2106947394389485,0.0,9.859937485729816,6.724897664435311,,-117.33960490456687,116.40842,,0.0,monomer,20-40,>7.0,0-10%
mol_815,0,61.69699575660816,0.8910173899240625,0.0,8.2939715789542,8.24597189925802,,-117.11053738030773,117.46463,"interplane_distance unreliable at angle 61.7 deg (>50 deg); CRITICAL: likely measuring edge-to-face, not pi-pi distance",0.0,monomer,60-80,<3.0,0-10%
mol_816,0,70.66270183689568,6.914444954894987,17.61531765391609,7.327880092325476,2.4265773454038664,,-115.53912424956788,118.84731,interplane_distance unreliable at angle 70.7 deg (>50 deg),0.0,monomer,60-80,5.0-7.0,10-25%
mol_817,0,31.882735385275474,7.820758215142485,0.0029231978176392937,9.611746023746155,5.587611525981507,,-117.01840778090607,118.95329,,0.0,monomer,20-40,>7.0,0-10%
mol_818,0,36.36988243726953,2.675821105472598,0.0,8.480570606392002,8.047363495052737,,-116.98739413868729,119.50473,,0.0,monomer,20-40,<3.0,0-10%
mol_819,0,21.929497901037653,8.566902852249077,27.7908016910748,9.983498695472445,5.126248308717268,,-117.00855406869732,121.12858,,0.0,monomer,20-40,>7.0,25-40%
mol_820,0,59.9577819225556,7.8699193860775205,1.9063233092681875,10.416100469585535,6.823453513371454,,-116.84901675606939,111.85474,interplane_distance unreliable at angle 60.0 deg (>50 deg),0.0,monomer,40-60,>7.0,0-10%
mol_821,0,51.08929245588039,4.518163357941885,2.7388493709054513,9.89992685680051,8.808788318545936,,-116.06102088057037,114.16815,interplane_distance unreliable at angle 51.1 deg (>50 deg),0.0,monomer,40-60,4.2-5.0,0-10%
mol_822,0,70.72175536627266,7.058008747350523,11.473983596501554,7.238092539647445,1.6045236473244957,,-117.30315571050761,117.69661,interplane_distance unreliable at angle 70.7 deg (>50 deg),0.0,monomer,60-80,>7.0,10-25%
mol_823,0,67.35258060167675,2.990605523559872,0.0,9.449827622898736,8.964124090225054,,-118.14366696154504,120.22615,interplane_distance unreliable at angle 67.4 deg (>50 deg),0.0,monomer,60-80,<3.0,0-10%
